------------------------------------------------------------------------
Inbound Links for,pricetransparency.accureg.net
Scope,fqdn
Sorted by,source_page_authority
Filters:,external+not_deleted
Anchor text,all
Source PLD,all
------------------------------------------------------------------------

URL,Title,Anchor Text,Spam Score,PA,DA,Linking Domains to Page,Target URL,Link Type,Link State,Date First Seen,Date Last Seen,Date Lost,HTTP Status Code,Links to Page,Outbound Domains from Page,Outbound Links from Page
www.whiteriverhealthsystem.com/, White River Health System › Home,price transparency,4%,43,36,412,pricetransparency.accureg.net/whiteriver,follow,active,2021-03-24,2022-01-04,--,200,7311,8,9
www.ksbhospital.com/,"Katherine Shaw Bethea Hospital - KSB - Dixon, Illinois",price transparency,1%,42,36,440,pricetransparency.accureg.net/KatherineShawBethea,follow,active,2021-02-22,2021-11-14,--,200,10716,7,17
www.dosher.org/,Dosher Memorial Hospital,pricing transparency,5%,40,31,337,pricetransparency.accureg.net/doshermemorialhospital?sub=Pricing+Transparency,follow,active,2021-03-23,2021-12-31,--,200,12867,11,19
www.civilbeat.org/2021/07/report-finds-that-most-hospitals-arent-complying-with-price-transparency-rules/,Report Finds That Most Hospitals Aren't Complying With Price Transparency Rules - Honolulu Civil Beat,first row of the machine readable file,--%,40,71,12,pricetransparency.accureg.net/queens,follow,active,2021-07-26,2022-01-29,--,200,23,9,11
whiteriverhealthsystem.com/, White River Health System › Home,price transparency,4%,39,36,112,pricetransparency.accureg.net/whiteriver,follow,active,2021-02-17,2022-01-07,--,200,1992,8,9
www.whiteriverhealthsystem.com/my-wrhs-health, White River Health System › My WRHS Health,price transparency,4%,39,36,139,pricetransparency.accureg.net/whiteriver,follow,active,2021-02-25,2022-03-13,--,200,2714,12,15
www.ksbhospital.com/patient-portal/,Patient Portal - KSB Hospital,price transparency,1%,39,36,150,pricetransparency.accureg.net/KatherineShawBethea,follow,active,2021-01-22,2022-01-01,--,200,1558,9,13
www.whiteriverhealthsystem.com/careers, White River Health System › Careers,price transparency,4%,37,36,79,pricetransparency.accureg.net/whiteriver,follow,active,2021-01-27,2022-02-02,--,200,2840,14,16
www.whiteriverhealthsystem.com/internal-medicine-residency, White River Health System › Internal Medicine Residency ,price transparency,4%,37,36,54,pricetransparency.accureg.net/whiteriver,follow,active,2021-02-04,2022-02-17,--,200,2215,8,10
www.onslow.org/billing-and-insurance-information,Billing and Insurance Information | Onslow Memorial Hospital,click here,18%,36,44,30,pricetransparency.accureg.net/onslow,follow,active,2021-01-19,2022-01-01,--,200,49236,6,10
www.cghmc.com/patients-visitors/billing-information/,Financial services | Paying your medical bill | CGH Medical Center,click here to use our price estimator tool,5%,36,38,27,pricetransparency.accureg.net/cgh,follow,active,2021-11-01,2022-02-02,--,200,2146,12,16
www.whiteriverhealthsystem.com/doctors/facilities/3, White River Health System › Batesville Family Care,price transparency,4%,35,36,33,pricetransparency.accureg.net/whiteriver,follow,active,2021-02-25,2022-03-06,--,200,145,9,10
www.whiteriverhealthsystem.com/contact-us, White River Health System › Contact Us,price transparency,4%,35,36,33,pricetransparency.accureg.net/whiteriver,follow,active,2021-01-18,2022-01-25,--,200,2110,7,10
www.whiteriverhealthsystem.com/doctors/facilities/1, White River Health System › White River Medical Center,price transparency,4%,35,36,28,pricetransparency.accureg.net/whiteriver,follow,active,2021-07-26,2022-01-25,--,200,87,8,9
www.whiteriverhealthsystem.com/scmc, White River Health System › SCMC,price transparency,4%,35,36,29,pricetransparency.accureg.net/whiteriver,follow,active,2021-04-10,2022-01-21,--,200,2217,4,5
www.whiteriverhealthsystem.com/locations, White River Health System › Locations,price transparency,4%,35,36,32,pricetransparency.accureg.net/whiteriver,follow,active,2021-04-12,2022-01-22,--,200,2231,8,43
www.whiteriverhealthsystem.com/find-a-doctor, White River Health System › Find A Provider,price transparency,4%,35,36,45,pricetransparency.accureg.net/whiteriver,follow,active,2021-01-20,2022-01-30,--,200,2130,7,8
